Opportunity(Default),kc_num,min_opp,mean_opp
0,0,0,0.0
0,0,0,0.0
0,1,1,1.0
1,3,1,1.0
0,1,1,1.0
0,1,2,2.0
0,1,3,3.0
0,1,4,4.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
2,3,1,1.66667
0,0,0,0.0
0,0,0,0.0
0,1,2,2.0
3,3,2,2.66667
1,3,1,3.0
0,1,5,5.0
0,1,6,6.0
0,1,7,7.0
0,1,8,8.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
5,3,2,4.0
0,0,0,0.0
0,0,0,0.0
0,1,3,3.0
6,3,3,5.0
0,1,9,9.0
0,1,10,10.0
0,1,11,11.0
0,1,12,12.0
0,0,0,0.0
0,0,0,0.0
0,1,4,4.0
7,3,4,6.0
0,1,13,13.0
2,3,2,6.0
3,3,3,7.0
0,1,14,14.0
0,1,15,15.0
0,1,16,16.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
10,3,3,7.66667
0,0,0,0.0
0,0,0,0.0
0,1,5,5.0
11,3,5,9.0
12,3,4,9.33333
0,1,17,17.0
4,3,4,10.0
0,1,18,18.0
0,1,19,19.0
5,3,5,11.0
0,1,20,20.0
0,0,0,0.0
0,0,0,0.0
1,2,1,1.0
0,0,0,0.0
2,2,2,2.0
15,3,5,11.66667
0,0,0,0.0
3,2,3,3.0
16,3,6,12.66667
0,0,0,0.0
0,0,0,0.0
0,1,1,1.0
0,1,6,6.0
17,3,6,13.33333
0,1,21,21.0
0,0,0,0.0
0,0,0,0.0
1,2,1,2.5
4,2,4,4.5
18,3,7,14.33333
0,1,22,22.0
0,1,23,23.0
0,0,0,0.0
0,0,0,0.0
0,1,7,7.0
19,3,7,15.0
0,1,24,24.0
0,1,25,25.0
0,1,26,26.0
0,1,27,27.0
0,0,0,0.0
0,0,0,0.0
5,2,5,5.5
20,3,8,16.0
0,0,0,0.0
0,0,0,0.0
0,1,8,8.0
21,3,8,16.66667
0,1,28,28.0
0,1,29,29.0
0,1,30,30.0
0,1,31,31.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,1,7,7.0
0,1,13,13.0
31,3,12,24.66667
0,1,48,48.0
0,1,49,49.0
0,1,50,50.0
0,1,51,51.0
0,0,0,0.0
1,2,1,1.0
13,2,13,14.0
32,3,1,21.66667
0,1,1,1.0
0,1,2,2.0
2,2,2,2.0
14,2,14,15.0
33,3,2,22.66667
0,1,1,1.0
0,1,2,2.0
0,1,1,1.0
0,1,3,3.0
0,1,4,4.0
0,1,2,2.0
0,0,0,0.0
0,0,0,0.0
0,1,8,8.0
0,1,9,9.0
0,1,14,14.0
34,3,13,27.0
0,1,52,52.0
0,1,53,53.0
0,1,3,3.0
15,2,15,16.0
0,0,0,0.0
0,1,4,4.0
16,2,16,17.0
35,3,3,24.33333
54,2,4,29.0
0,1,55,55.0
0,1,3,3.0
0,0,0,0.0
0,1,4,4.0
0,0,0,0.0
0,1,5,5.0
0,1,6,6.0
0,1,3,3.0
0,1,7,7.0
0,1,8,8.0
0,1,4,4.0
0,1,1,1.0
0,0,0,0.0
0,0,0,0.0
0,1,10,10.0
0,1,15,15.0
1,3,1,17.0
0,1,56,56.0
0,1,57,57.0
2,3,2,17.66667
0,1,58,58.0
0,1,59,59.0
3,3,3,18.66667
0,1,5,5.0
0,1,6,6.0
0,1,9,9.0
0,1,10,10.0
0,1,5,5.0
0,1,11,11.0
0,1,12,12.0
0,1,6,6.0
0,0,0,0.0
0,0,0,0.0
0,1,7,7.0
0,1,11,11.0
0,1,12,12.0
0,1,16,16.0
0,1,60,60.0
0,1,61,61.0
4,3,1,6.66667
0,1,62,62.0
0,1,63,63.0
0,1,8,8.0
0,0,0,0.0
0,1,9,9.0
0,0,0,0.0
3,2,3,4.0
17,2,17,18.0
0,0,0,0.0
0,0,0,0.0
6,2,4,5.0
18,2,18,19.0
5,3,2,3.66667
7,2,5,6.0
19,2,19,20.0
6,3,3,4.66667
0,1,13,13.0
0,1,14,14.0
0,1,7,7.0
0,1,15,15.0
0,1,16,16.0
0,1,8,8.0
0,0,0,0.0
0,0,0,0.0
0,1,13,13.0
0,1,14,14.0
0,1,17,17.0
39,3,1,25.33333
0,1,64,64.0
0,1,65,65.0
0,1,66,66.0
0,1,67,67.0
0,0,0,0.0
0,1,8,8.0
22,2,1,11.5
23,3,1,8.66667
40,3,1,26.0
0,1,9,9.0
24,2,3,13.5
25,3,2,10.33333
41,3,2,27.0
0,1,10,10.0
0,1,11,11.0
0,1,17,17.0
0,1,18,18.0
0,1,9,9.0
0,1,19,19.0
0,1,20,20.0
0,1,10,10.0
0,1,2,2.0
0,0,0,0.0
0,0,0,0.0
0,1,15,15.0
0,1,16,16.0
0,1,18,18.0
7,3,2,17.0
0,1,68,68.0
0,1,69,69.0
70,2,5,37.5
0,0,0,0.0
10,2,6,8.0
26,2,5,15.5
8,3,3,18.0
0,1,12,12.0
0,0,0,0.0
0,1,13,13.0
0,0,0,0.0
0,1,21,21.0
0,1,22,22.0
0,1,11,11.0
0,1,23,23.0
0,1,24,24.0
0,1,12,12.0
0,1,3,3.0
0,0,0,0.0
0,0,0,0.0
0,1,17,17.0
0,1,19,19.0
9,3,9,23.0
0,1,71,71.0
0,1,72,72.0
73,2,6,39.5
0,1,74,74.0
0,0,0,0.0
0,1,11,11.0
20,2,20,23.5
10,3,6,20.33333
0,1,12,12.0
21,2,21,24.5
11,3,7,21.33333
0,1,14,14.0
0,1,15,15.0
0,0,0,0.0
0,1,25,25.0
0,1,26,26.0
0,1,27,27.0
0,1,13,13.0
0,1,28,28.0
0,1,14,14.0
0,1,4,4.0
0,0,0,0.0
